w0002	כל	שנייה נטיית מין של שני
w0003	ככ	סדר ושבר, שני מובנים
w0004	לככ	מוכשר=כישרון; שניים אחרים ליבה
w0005	ככלל	אודות פורמלי; ליד לא נושא
w0006	ככ	שני מובנים מרכזיים
w0009	לכל	כנגד=כ+נגד תחילית; ממול שונה
w0012	ככ	לבד ובודד שני מובנים
w0015	כל	ו- אותה מילה במקף
w0019	ככ	שם עצם ופועל
w0020	כלכ	תחום פחות מרכזי כאן
w0024	ככלל	כש- נטיית כאשר; כפי ש נדיר
w0025	ככ	שאלה מול בקשה
w0026	ככל	ב- אותה מילה במקף
w0029	כלכ	התקפה כפילות מתקפה
w0030	ככלל	מפני ש כפילות; כי נפוץ ביותר
w0034	לכל	ישבן סלנג; באיחור משני
w0035	לכ	טוב=good לא superlative
w0036	לככ	טוב חסר דרגת השוואה
w0042	כל	קנה נטיית עבר של לקנות
w0044	ככ	פועל ושם עצם
w0046	ככל	להישרף נטיית סביל של לשרוף
w0047	ככללל	חוץ מ ומלבד=except לא but
w0048	ללכלכלל	עד ועל-ידי שני מובנים מרכזיים
w0049	כלכ	לקרוא=לקרוא בשם, מובן משני
w0052	ככ	שם עצם ופועל
w0053	ככ	הסתברות והזדמנות
w0054	כלכ	חשבון=בקשת חשבון, הקשר צר
w0056	כל	ילדים נטיית רבים של ילד
w0057	כל	כנסייה כתיב חלופי בלבד
w0060	כל	אלה=נשק, מובן נדיר
w0061	ככ	פועל ושם עצם
w0062	כלכ	התקררות תהליך, לא מחלה
w0064	כל	פלוגה יחידה צבאית, נדיר
w0065	ככלל	מגע ואיש קשר צרים כאן
w0067	כלללכ	בקרה ופיקוח טכניים משניים
w0068	לכלכל	טמפרטורה וסלנג שני המובילים
w0069	ככ	שני מונחים נפוצים לעבירה
w0070	ככ	פועל ושם עצם
w0074	כלכ	לטפל חופף אך פחות מדויק
w0075	כל	פטירה נוסח רשמי פחות נפוץ
w0077	ללכ	קוביה נדיר; מת=תואר, למות פועל
w0081	כל	שונה מ- כפילות מקף
w0084	ככלל	לעשות מילה אחרת; עשוי צר
w0085	ככ	כיוון ומצב רוח, שניהם
w0091	כלכ	כוח=power פחות מדויק כאן
w0096	ככ	שני ניסוחים נפוצים
w0099	לככ	לחוות פועל, פחות מרכזי
w0101	ככללללל	פנים גוף; שאר הניבים מיותרים
w0108	ככ	שם עצם ופועל
w0109	ככ	רגש והרגשה, שני מובנים קרובים
w0110	ככ	שני מילים נרדפות
w0111	ככלל	קרב שם עצם; לריב צר
w0113	ככ	מציאה ומצוא
w0115	ככ	שני ניסוחים נפוצים
w0116	ככ	פועל ופתרון
w0117	ככל	לעוף כפול משמעות עם לטוס
w0118	ככל	להבין ניב, נדיר יותר
w0119	כלכ	לאלץ נרדף לכפות, מיותר
w0122	ככל	חלוץ עמדה בכדורגל, צר
w0124	כלל	מ- ומ צורות מקדמת של מן
w0126	ככל	למלא פועל, לא תואר
w0127	כל	עתידי תואר נגזר מעתיד
w0129	ככ	מתנה וכישרון, שני מובנים
w0131	ככ	שני מונחים נפוצים לממשלה
w0132	לככ	גדול=big לא great/מצוין
w0133	ככלל	בסיס מופשט; לבסס נגזר
w0139	ככל	קשה חסר דרגת השוואה
w0152	ככ	שם עצם ותואר
w0153	ככלל	בן-אדם כפילות; יצור אנושי מסורבל
w0161	כלכ	ב זהה ל-ב- במקף
w0162	ככל	בעוד רגע נטיית עוד רגע
w0164	כלכ	בחזית של ניסוח מסורבל
w0167	לככ	פנים עלול לבלבל עם face
w0168	כל	אל תוך פחות נפוץ
w0172	ככ	פועל ושם עצם
w0173	ככ	פועל ושם עצם
w0176	ככל	לדעת נטיית ידע; להכיר=אדם
w0178	לכל	לאחר=after לא late; מנוח נדיר
w0179	ככ	שני ניסוחים נפוצים
w0180	ככ	פועל ושם עצם
w0182	ככל	שמאלה נטיית כיוון של שמאל
w0184	כלכ	לשקר כפול עם שקר
w0185	ככל	להדליק פועל, מובן שלישי
w0186	כלכל	להעדיף מילה אחרת; לחבב מיותר
w0187	לללככ	חוליה שרשרת נדיר; קשר וקישור
w0188	כלכ	להכין רשימה מסורבל ומיותר
w0193	כלכ	לעשות נטיית עשה; ליצור נוסף
w0197	ככ	שני מובנים למפגש
w0199	ככ	מסר והודעה שניהם נפוצים
w0200	לכ	אמצעי עלול=means, לא middle
w0202	ככ	פועל ושם עצם
w0203	כלכ	ערבוב מיותר מול תערובת
w0209	כל	שפך נהר, גאוגרפי צר
w0210	לככ	מהלך כמונח משחק, צר
w0211	לככל	הכרח וחובה פחות ישירים
w0212	ככ	תואר ומילת יחס
w0213	כלכ	להזדקק נרדף פורמלי, מיותר
w0214	ככ	שני ניסוחים נפוצים
w0222	כל	למנות=to count, משני
w0226	כלכ	מבצע קמעונאי, הקשר צר
w0227	כלכ	לעיתים קרובות כתיב חלופי
w0229	לכלכל	פעם כפילות; ברגע ש נרדף כאשר
w0230	ככ	רק ויחיד, שני מובנים
w0234	ככל	חוץ עמום כאן
w0235	ככללל	מעל נרדף על; שוב/מחדש מיותרים
w0236	כללכ	עצמי ובעלות ניסוחים משניים
