q	src	key	verdict	unanimous	inOptions
1	aca6#1	obsolete	TOP1	obsolete	yes
2	aca6#2	prevalent	TOP3	endemic	no
3	aca6#3	deficiency	TOP1	deficiency	yes
4	aca6#4	reluctant	TOP1	reluctant	yes
5	aca6#5	augment	TOP1	augment	yes
6	aca6#6	luminous	TOP1	luminous	yes
7	aca6#7	apparatus	TOP1	apparatus	yes
8	aca6#8	hazard	TOP1	hazard	yes
9	aca6#9	mundane	TOP1	mundane	yes
10	aca6#10	secular	TOP1	secular	yes
11	aca6#11	intervene	TOP1	intervene	yes
12	aca6#12	confiscate	TOP1	confiscate	yes
13	aca6#13	testimony	TOP1	testimony	yes
14	aca6#14	arguably	TOP1	arguably	yes
15	aca6#15	seldom	TOP3	rarely	no
16	aca6#16	severity	TOP1	severity	yes
17	aca6#17	hypocrisy	TOP1	hypocrisy	yes
18	aca6#18	proclaim	TOP1	proclaim	yes
19	aca6#19	compel	TOP1	compel	yes
20	aca6#20	rigid	TOP1	rigid	yes
21	aca6#21	viable	TOP3	feasible	no
22	aca6#22	deliberate	TOP1	deliberate	yes
23	aca6#23	emulate	TOP1	emulate	yes
24	aca6#24	alienation	TOP1	alienation	yes
25	aca6#25	emergence+demise	MISS	advent+demise	no
26	aca6#26	commence+culminate	TOP1	commence+culminate	yes
27	aca6#27	induce+inhibit	MISS	induce+suppress	no
28	aca7#1	insurrection	TOP1	insurrection	yes
29	aca7#2	leniency	TOP1	leniency	yes
30	aca7#3	plummet	MISS	plummeted	no
31	aca7#4	nourish	MISS	enrich	no
32	aca7#5	facilitate	MISS		no
33	aca7#6	deem	MISS	certify	no
34	aca7#7	fabricate	TOP1	fabricate	yes
35	aca7#8	harness	TOP1		no
36	aca7#9	tangible	TOP1	tangible	yes
37	aca7#10	innate	TOP1	innate	yes
38	aca7#11	superfluous	TOP3	redundant	no
39	aca7#12	omit	MISS		no
40	aca7#13	conspicuous	TOP1	conspicuous	yes
41	aca7#14	conjecture	TOP3	estimate	no
42	aca7#15	upheaval	MISS	rebellion	no
43	aca7#16	genus	TOP1	genus	yes
44	aca7#17	futile	TOP1	futile	yes
45	aca7#18	insurmountable	TOP1		no
46	aca7#19	inadvertently	TOP1	inadvertently	yes
47	aca7#20	abstain	TOP1	abstain	yes
48	aca7#21	nocturnal	TOP1	nocturnal	yes
49	aca7#22	posterity	TOP1	posterity	yes
50	aca7#23	paramount	TOP1	paramount	yes
51	aca7#24	stark	TOP1	stark	yes
52	aca7#25	resurgence	TOP3	revival	no
53	aca7#26	designate+preside	MISS	appoint+preside	no
54	aca7#27	laud+disparage	MISS		no
55	aca8#1	extrapolate	TOP1	extrapolate	yes
56	aca8#2	intermediary	TOP1	intermediary	yes
57	aca8#3	consolidate	TOP1	consolidate	yes
58	aca8#4	circulate	TOP1	circulate	yes
59	aca8#5	rodent	TOP1	rodent	yes
60	aca8#6	famine	TOP1	famine	yes
61	aca8#7	anesthesia	TOP3		no
62	aca8#8	hearsay	TOP1	hearsay	yes
63	aca8#9	subsequent	TOP1	subsequent	yes
64	aca8#10	fortify	MISS	reinforce	no
65	aca8#11	pervasive	TOP1	pervasive	yes
66	aca8#12	overlooked	TOP1	overlooked	yes
67	aca8#13	avert	MISS		no
68	aca8#14	pollutant	TOP1	pollutant	yes
69	aca8#15	furnish	TOP1	furnish	yes
70	aca8#16	illicit	MISS	contraband	no
71	aca8#17	heredity	TOP1	heredity	yes
72	aca8#18	expenditure	TOP1	expenditure	yes
73	aca8#19	resumption	TOP1	resumption	yes
74	aca8#20	inconspicuous	TOP3	elusive	no
75	aca8#21	flourish	MISS	proliferate	no
76	aca8#22	pastime	TOP1	pastime	yes
77	aca8#23	pretext	TOP1	pretext	yes
78	aca8#24	conceive+expedite	MISS		no
79	aca8#25	indigenous	TOP1		no
80	aca8#26	enlist+undergo	TOP1	enlist+undergo	yes
81	aca8#27	flimsy	MISS	uncorroborated	no
82	adv6#1	apology	TOP1	apology	yes
83	adv6#2	committee	TOP1	committee	yes
84	adv6#3	contest	TOP1	contest	yes
85	adv6#4	establish	TOP1	establish	yes
86	adv6#5	determine	TOP1	determine	yes
87	adv6#6	compromise	TOP1	compromise	yes
88	adv6#7	compatible	TOP1	compatible	yes
89	adv6#8	genuine	TOP1		no
90	adv6#9	transparent	TOP1	transparent	yes
91	adv6#10	minority	TOP1	minority	yes
92	adv6#11	poverty	TOP1	poverty	yes
93	adv6#12	terminate	TOP1	terminate	yes
94	adv6#13	duplicate	TOP3		no
95	adv6#14	praise+criticize	TOP1		no
96	adv6#15	exclusively	TOP3	only	no
97	adv6#16	quantity	TOP1	quantity	yes
98	adv6#17	surveillance	TOP1	surveillance	yes
99	adv6#18	sensitivity	TOP1	sensitivity	yes
100	adv6#19	broad	TOP1	broad	yes
101	adv6#20	judgment	TOP3	instinct	no
102	adv6#21	entitled	TOP1	entitled	yes
103	adv6#22	finalize	TOP1	finalize	yes
104	adv6#23	narcotic	TOP3	substance	no
105	adv6#24	procedure	TOP3	protocol	no
106	adv6#25	domestic	TOP1	domestic	yes
107	adv6#26	insert+inject	TOP1	insert+inject	yes
108	adv6#27	trace	TOP1	trace	yes
109	adv6#28	dull	TOP3	blunt	no
110	adv7#1	prolong	TOP3	continue	no
111	adv7#2	flaw	TOP1	flaw	yes
112	adv7#3	consequence	TOP1	consequence	yes
113	adv7#4	sufficient	TOP1	sufficient	yes
114	adv7#5	gradually	TOP1	gradually	yes
115	adv7#6	hypothesis	TOP1	hypothesis	yes
116	adv7#7	immune	TOP1	immune	yes
