מילה	יחידה	פירוש היום	הפירוש החדש	מקור	נימוק
abide	10	לציית	לציית; לסבול	פאנל	פירוש צר מדי
abuse	6	התעללות, ניצול; להתעלל, לנצל	התעללות, ניצול; להתעלל, לנצל; שימוש לרעה	פאנל	פירוש צר מדי
acclaim	10	להריע, לשבח	שבח, להריע, לשבח	פאנל	מובן נפוץ חסר
adjust	8	להתרגל; לכוונן	להתאים, להתרגל; לכוונן	פאנל	פירוש שגוי
administration	5	מנהל	ממשל, מנהל; ניהול	פאנל	פירוש שגוי
affluence	10	שפע	עושר, שפע	פאנל	מובן נפוץ חסר
agitate	10	להסעיר, לזעזע, לעצבן	להסעיר, לזעזע, לעצבן; לנער	פאנל	פירוש צר מדי
airborne	8	נישא באוויר	נישא באוויר; באוויר	פאנל	פירוש שגוי
align	7	ליישר; להסתדר בשורה	ליישר; להסתדר בשורה; להתאים	פאנל	פירוש צר מדי
allow	3	להרשות	להרשות; לאפשר	פאנל	פירוש צר מדי
amid	9	בקרב, בין	בתוך, בקרב, בין	פאנל	פירוש שגוי
amount	4	כמות	כמות; להסתכם	פאנל	פירוש צר מדי
analog	4	אנלוגי (ההיפך מדיגיטלי)	אנלוגי (ההיפך מדיגיטלי); מקבילה	פאנל	פירוש צר מדי
anchor	7	עוגן	עוגן; קריין	פאנל	פירוש צר מדי
annoy	5	להציק	להרגיז, להציק	פאנל	פירוש שגוי
answer	1	תשובה	תשובה; לענות	פאנל	פירוש צר מדי
appreciation	8	הערכה	הערכה; תודה	פאנל	פירוש צר מדי
arise, arose	9	לקום, קם	לצוץ, לקום, קם	פאנל	מובן נפוץ חסר
arrange	5	לסדר	לסדר; לארגן	פאנל	פירוש צר מדי
as far as	6	לגבי, בכל הנוגע ל-	ככל ש, לגבי, בכל הנוגע ל-	פאנל	פירוש שגוי
ascertain	10	לוודא	לוודא; לברר	פאנל	פירוש צר מדי
ask	1	לשאול	לשאול; לבקש	פאנל	פירוש צר מדי
asset	7	נכס	נכס; יתרון	פאנל	פירוש צר מדי
associate	6	לקשר	לקשר; עמית	פאנל	פירוש צר מדי
association	5	אסוציאציה; איגוד	אסוציאציה; איגוד; קשר	פאנל	פירוש שגוי
attach	5	לחבר, לייחס	לצרף, לחבר, לייחס	פאנל	מובן נפוץ חסר
attraction	5	משיכה	משיכה; אטרקציה	פאנל	פירוש צר מדי
augment	9	להרחיב	להגדיל, להרחיב	פאנל	פירוש שגוי
authority	4	סמכות	סמכות; רשות	פאנל	פירוש צר מדי
backward	4	לאחור	לאחור; נחשל	פאנל	פירוש שגוי
bald	5	קרח	קירח, קרח	פאנל	פירוש שגוי
beat	3	מקצב; מכה, להכות	לנצח, מקצב; מכה, להכות	פאנל	מובן נפוץ חסר
beg	4	להתחנן	להתחנן; לקבץ נדבות	פאנל	פירוש צר מדי
bend	6	לכופף	לכופף; עיקול	פאנל	פירוש צר מדי
bent	6	כופף	כפוף, כופף	פאנל	פירוש שגוי
blame	6	להאשים	להאשים; אשמה	פאנל	פירוש צר מדי
bland	10	תפל	תפל; משעמם	פאנל	פירוש צר מדי
blow, blew	6	לנשוף, נשף; לפוצץ, פוצץ	לנשוף, נשף; לפוצץ, פוצץ; מכה	פאנל	פירוש צר מדי
bond	5	קשר	קשר; אג"ח	פאנל	פירוש צר מדי
boost	5	דחף, המריץ	להגביר, דחף, המריץ	פאנל	פירוש שגוי
break	1	לשבור	לשבור; הפסקה	פאנל	פירוש צר מדי
briefly	8	בקצרה	בקצרה; לזמן קצר	פאנל	פירוש צר מדי
broad	6	נרחב	רחב, נרחב; כללי	פאנל	פירוש שגוי
broadcast	6	לשדר	לשדר; שידור	פאנל	פירוש צר מדי
bully	5	בריון	בריון; להציק	פאנל	פירוש צר מדי
burden	9	עול	נטל, עול; להכביד	פאנל	מובן נפוץ חסר
cabin	5	בקתה	תא, בקתה	פאנל	מובן נפוץ חסר
call	1	לקרוא, להתקשר	לקרוא, להתקשר; שיחה	פאנל	פירוש צר מדי
canvass	10	לבדוק, לסקור	לגייס תמיכה, לבדוק, לסקור	פאנל	פירוש שגוי
capitalize	10	לנצל	לנצל; לכתוב ברישיות	פאנל	פירוש צר מדי
carry	3	לסחוב	לשאת, לסחוב	פאנל	מובן נפוץ חסר
cater	8	לספק	לספק קייטרינג, לספק	פאנל	פירוש שגוי
cause	2	מטרה; גורם, סיבה	לגרום, מטרה; גורם, סיבה	פאנל	מובן נפוץ חסר
cavity	9	חור	חלל, חור; עששת	פאנל	פירוש שגוי
cereal	5	דגני בוקר	דגן, דגני בוקר	פאנל	מובן נפוץ חסר
certify	7	להצהיר, לאשר	להצהיר, לאשר; להסמיך	פאנל	פירוש צר מדי
chance	1	סיכוי	סיכוי; הזדמנות	פאנל	פירוש צר מדי
characteristic	8	מאפיין	מאפיין; אופייני	פאנל	פירוש צר מדי
comic	2	קומי (מהמילה קומדיה)	קומי (מהמילה קומדיה); קומיקס	פאנל	פירוש צר מדי
communal	9	משותף, ציבורי	קהילתי, משותף, ציבורי	פאנל	מובן נפוץ חסר
complex	3	מסובך	מורכב, מסובך; מתחם	פאנל	פירוש שגוי
composed	9	רגוע, שלו, שולט בעצמו; הלחין, חיבר	רגוע, שלו, שולט בעצמו; הלחין, חיבר; מורכב	פאנל	פירוש צר מדי
comprise	10	לכלול	לכלול; להיות מורכב	פאנל	פירוש צר מדי
conclusion	6	מסקנה	מסקנה; סיום	פאנל	פירוש צר מדי
condone	10	לסלוח, למחול	להשלים עם, לסלוח, למחול	פאנל	מובן נפוץ חסר
confession	6	וידוי	הודאה, וידוי	פאנל	מובן נפוץ חסר
confident	5	בטוח בעצמו	בטוח בעצמו; בטוח	פאנל	פירוש צר מדי
conquer	7	לכבוש	לכבוש; להתגבר על	פאנל	פירוש צר מדי
conscious	7	מודע	מודע; בהכרה	פאנל	פירוש צר מדי
conserve	8	לשמר	לשמר; לחסוך	פאנל	פירוש צר מדי
consult	5	להתייעץ	להתייעץ; לעיין ב	פאנל	פירוש צר מדי
contain	5	להכיל, מכיל	להכיל, מכיל; לבלום	פאנל	פירוש צר מדי
continuous	7	מתמשך	רציף, מתמשך	פאנל	פירוש שגוי
cool	1	לצנן, צונן	קריר, לצנן, צונן; מגניב	פאנל	פירוש שגוי
copy	2	להעתיק	עותק, להעתיק	פאנל	מובן נפוץ חסר
correspondence	9	התכתבות	התכתבות; התאמה	פאנל	פירוש צר מדי
counsel	9	לייעץ, להדריך; פרקליט, יועץ	עצה, לייעץ, להדריך; פרקליט, יועץ; עורך דין	פאנל	מובן נפוץ חסר
cripple	8	להטיל מום	לשתק, להטיל מום; נכה	פאנל	פירוש שגוי
curious	3	סקרן	סקרן; מוזר	פאנל	פירוש צר מדי
daily	3	יומיומי	יומי, יומיומי; מדי יום	פאנל	פירוש שגוי
dairy	7	מחלבה	חלבי, מחלבה	פאנל	מובן נפוץ חסר
dampen	10	לדכא	להרטיב, לדכא; להחליש	פאנל	פירוש שגוי
dart	8	חץ	חץ; לזנק	פאנל	פירוש צר מדי
deaf	5	חרש	חירש, חרש	פאנל	פירוש שגוי
debate	5	ויכוח, דיון	ויכוח, דיון; להתווכח	פאנל	פירוש צר מדי
