in	The keys are in the drawer next to my bed.
in a moment	She'll be here in a moment; please wait patiently.
in fact	He seems lazy, but in fact he works very hard daily.
in front of	She stood in front of the class and presented her project.
in order to	She studied hard in order to pass the difficult exam.
information	The website provides useful information about train schedules.
inside	We walked inside the museum and saw ancient sculptures.
into	He poured water into the glass until it was full.
island	We spent vacation on a small island in the Mediterranean.
Jew	My friend David is a Jew who celebrates Hanukkah.
join	Would you like to join our volleyball team this season?
joke	His funny joke made everyone at the party laugh.
jump	The dog jumped over the fence toward the park.
kill	The accident killed three people and injured many others.
king	The king ruled the country for fifty years.
know, knew	I knew her from college but we lost touch years ago.
large	This apartment is large enough for our growing family.
late	He arrived late to the meeting and apologized to everyone.
later	We can discuss this later when we have more time.
laugh	The comedy show was so funny the audience laughed loudly.
law	The new law requires people to recycle plastic bottles.
left	Turn left at the corner and the store is right there.
less	This coffee has less sugar than yesterday's drink.
lie	He told a lie about where he spent the afternoon.
light	This suitcase is light and easy to carry on trips.
like	Her paintings are like those in the museum collection.
link	Click the link to visit the website about living healthy.
list	I made a list of groceries before going to the store.
listen	Please listen carefully to the instructions for the exam.
luck	Good luck on your interview tomorrow at the company.
lunch	We usually eat lunch at noon in the office kitchen.
machine	This washing machine cleans clothes better than my old one.
made	She made a cake from scratch using butter and eggs.
make sure	Make sure you lock the door before you leave tonight.
maybe	Maybe we should go to the beach instead of mountains.
media	The media reported the earthquake story on the evening news.
meeting	The meeting lasted two hours and was very productive.
memory	That song brings back happy memories of my childhood years.
message	I sent her a message about the meeting but she hasn't responded yet.
middle	She sat in the middle of the room where everyone could see her.
milk	He poured cold milk into his cereal this morning.
mistake	I made a mistake on the test but will study harder.
mix	Mix the eggs and sugar together until they become pale.
model	The new car model featured a sleek design that impressed the engineers.
money	He saved money for three years to buy a house.
monster	The monster in the movie scared the children in the theater.
most	Most people enjoy going to the beach on summer days.
mountain	The mountain peak was covered in snow during winter.
mouth	She opened her mouth to speak but then stayed quiet.
move	We decided to move to a bigger house next year.
must	You must wear a seatbelt when driving a car.
near	The school is near my house, just a short walk.
need	I need to buy new shoes because mine are broken.
never	She never drinks coffee and always prefers tea instead.
new	He bought a new phone to replace his old broken one.
next	Next summer we plan to travel to Europe for vacation.
next to	My desk is next to the window in the office.
North	The train headed North toward the mountains in the early morning.
nose	He broke his nose playing basketball last week.
not only	She is not only smart but also very kind to others.
now	I need to leave now or I will be very late.
number	What is the phone number for the customer service desk?
ocean	The ocean waves were beautiful when we visited the beach.
of	The color of the wall changed after the renovation finished.
of course	Of course you can borrow my book whenever you want.
offer	The company offered him a job but he declined politely.
often	I often see her at the coffee shop near my home.
on	The book is on the table in the living room today.
once	Once you start exercising regularly, you will feel better soon.
only	Only members can enter the private club downtown.
open	She opened the door and welcomed us inside warmly.
or	Do you want coffee or tea with your breakfast today?
organic	Organic vegetables are grown without pesticides or chemicals.
outside	We sat outside on the porch and enjoyed the sunset.
over	The airplane flew over the clouds at high altitude.
own	She owns a small business that sells handmade jewelry.
pain	He felt sharp pain in his back after lifting something.
part	This part of the city has many restaurants and shops.
pass	We decided to pass on the dessert this time.
past	She walked past my house on her way to school.
