d215775a6b	נעים
d24b247dd1	צום
d2623407f8	עיתון
d2657700a6	עבריין
d2c89c0b12	עימות
d2eb29be6c	מיעוט
d2fba4df79	חודרני
d321c77997	עיתונאי
d3c83922e2	לקלף
d4080e49e2	מסעדה
d41332e3fa	יומיומי
d4494f41b9	לבלוט
d4d9c24482	בסיסי
d54c36976a	בלי
d69fd5839d	פולשני
d7ce7a0cd7	לא מוכן
d80d670cac	פרס
d8333db8dc	זלזול
da814e37fc	ממצא
da8fba8674	מיותר
db575b3ad0	להשתמש
db6653e6fd	גאון
dbef4663ed	אסיר
dc7e91d7e8	הערכה
dc872446f6	קו חוף
dcb8f4d045	להתמשך
dcc3d4ffe3	לכסות
dd57e216b4	מבוך
dea23b7492	סופר
dfc01713ef	לאפשר
e0907d56bf	לבדוק
e15aab1bdf	מיעוט
e1bd0a9ad0	לנטות
e26a4295ec	אורגני
e2ede72834	צוהר
e310cc0443	זקן
e6bbc55536	מוצג
e73926b23d	יוצר
e7874d8652	לא הכרחי
e84dfbf51b	גאון
e8f7aafde9	להתחנן
e950c3d9b5	לשפוט
e9eda13533	מסע
ea2b27d506	להבריק
ea7bad61d4	צפרדע
eba438c6d1	רב מכר
ebb3cd6a6f	צרכן
ec4d760090	חרט
ece9e3277d	מחסור
ed8ebb5390	אמצע
edad1d059a	לנצל
edc3435d8a	להתחבר
ee2e20113c	יעד
ee391b5e98	תגובה
ef3a3f2f2d	אישיות
ef5b652f0b	פורץ דרך
f02333ee91	תגובה
f0529de9a1	ללא
f3148286cc	אצילי
f3e2cef07d	מחלקה
f413617cd8	קהל
f5396cebb2	לחפוף
f584721449	רב מכר
f58b844a81	אב קדמון
f6586687ee	סחורה
f6b538fee1	להכריע
f7593e54a2	לשגשג
f8129451c2	הפצה
f937fc51df	התנהגות
f957e0be74	בד
f974c97d0c	מעי
f976ce0ceb	קבורה
f98ad61bb8	להמריא
f9efd13577	קול
fa0772bf68	מחויבות
fa3113d6cd	לעזור
fb308dd357	קישור
fc4894d85f	לא שיגרתי
fc9dbf9b53	לשוני
fd6488d06d	לבקוע
fdb3f9fc3d	מסילה
fe30eba383	לאלץ
fe3bda1493	צומת
fed4817636	סוג
ffc707bacf	ממצא
