q	level	n	words	blanks
1	בינוני	1	equipment	1
2	בסיס	6	repeat	1
3	בסיס	1	pay	1
4	אקדמי	1	amend	1
5	מתקדם	6	enforce	1
6	אקדמי	10	ascertain	1
7	מתקדם	8	shatter	1
8	בינוני	6	budget	1
9	בינוני	3	damage	1
10	מתקדם	2	compensate	1
11	מתקדם	10	enhance	1
12	בסיס	4	cancel	1
13	אקדמי	5	hinder	1
14	אקדמי	6	impart|absorb	2
15	בסיס	2	solve	1
16	בסיס	5	echo	1
17	אקדמי	8	discrepancy	1
18	אקדמי	9	concede	1
19	אקדמי	4	thrive	1
20	בינוני	5	reject	1
21	מתקדם	9	recall	1
22	בסיס	3	destroy	1
23	בינוני	8	habit	1
24	בינוני	7	achieve	1
25	מתקדם	1	suspend	1
26	מתקדם	3	align|differ	2
27	בינוני	2	ignore	1
28	מתקדם	4	obstacle	1
29	מתקדם	7	hibernate	1
30	אקדמי	3	incentive	1
31	אקדמי	7	alleviate	1
32	מתקדם	5	illustrate	1
33	אקדמי	2	yield|harvest	2
34	בינוני	4	delay	1
